ID,NAME,DESCRIPTION,LEVEL,DISCIPLINE_ID,DICE_POOL,DIFFICULTY,COST,SOURCE_BOOK_ID,PAGE_NUMBER,VISIBLE
1,Defense of the Sacred Haven,Sunlight reflects off windows or magically fails to pass thr,1,5,Intelligence + Occult,4,1,1,230,Y
2,Wake with Evening's Freshness,This ritual allows a Tremere to awaken at any sign of danger,1,5,Intelligence + Occult,4,1,1,232,Y
3,Engaging the Vessel of Transference,Swaps the blood of someone holding it with the blood in the ,1,5,Intelligence + Occult,4,1,1,231,Y
4,Communicate with Kindred Sire,Speak telepathically with your sire,1,5,Intelligence + Occult,4,1,1,230,Y
5,Incorporeal Passage,Pass through walls,3,5,Intelligence + Occult,6,3,1,236,Y
6,Bloodwalk,Trace lineage and bloodbonds,2,5,Intelligence + Occult,5,2,1,232,Y
7,Machine Blitz,Machines go haywire,2,5,Intelligence + Occult,5,2,1,233,Y
9,Pavis of Foul Presence,Reverse the effects of Presence,3,5,Intelligence + Occult,6,3,1,236,Y
10,Eyes of the Night Hawk,See and hear through the senses of a bird,2,5,Intelligence + Occult,5,2,1,233,Y
11,Sanguine Assistant,Conjure a servant,3,5,Intelligence + Occult,6,3,1,236,Y
13,Call of the Hungry Dead,Hear conversation from across the Shroud,1,11,Intelligence + Occult,4,1,1,177,Y
14,Eldritch Beacon,Glow green in the shadowlands,1,11,Intelligence + Occult,4,1,1,177,Y
15,Insight,See the last thing witnessed by a corpse,1,11,Intelligence + Occult,4,1,1,177,Y
16,Knowing stone,Mark someone's spirit to see their location,1,11,Intelligence + Occult,4,1,1,177,Y
17,Minestra di Morte,Find out if someone is a wraith or spectre,1,11,Intelligence + Occult,4,1,1,177,Y
18,Ritual of the Smoking Mirror,See as ghosts do,1,11,Intelligence + Occult,4,1,1,178,Y
19,Eyes of the Grave,Target experiences visions of their death,2,11,Intelligence + Occult,5,2,1,179,Y
20,The Hand of Glory,Anesthetise a home's residents,2,11,Intelligence + Occult,5,2,1,179,Y
21,Occhio d'Uomo Morto,Permanent Shroudsight ability,2,11,Intelligence + Occult,5,2,1,179,Y
22,Puppet,Prepare a subject for posession,2,11,Intelligence + Occult,5,2,1,179,Y
23,The Ritual of Pochtli,Allows joint use of Necromancy,2,11,Intelligence + Occult,5,2,1,180,Y
24,Two Centimes,Send a mortal soul to the underworld to communicate,2,11,Intelligence + Occult,5,2,1,180,Y
25,Blood Dance,Allows ghost to communicate with a relative,3,11,Intelligence + Occult,6,3,1,180,Y
26,Divine Sign,"Predict action of the target, or acts like a fetter on a ghost",3,11,Intelligence + Occult,6,3,1,180,Y
27,Din of the Damned,Sounds of the underworld are heard in the physical,3,11,Intelligence + Occult,6,3,1,180,Y
